final_rating,shotsTotal,shotsOnPost,shotsOnTarget,shotsOffTarget,shotsBlocked,clearances,interceptions,possession,touches,passesTotal,passesAccurate,passesKey,passSuccess,aerialsTotal,aerialsWon,aerialSuccess,offensiveAerials,defensiveAerials,cornersTotal,cornersAccurate,throwInsTotal,throwInsAccurate,throwInAccuracy,offsidesCaught,foulsCommited,tacklesTotal,tackleSuccessful,tackleUnsuccesful,tackleSuccess,dribbledPast,dribblesWon,dribblesAttempted,dribblesLost,dribbleSuccess,dispossessed,errors,team_name,field
6.93375,22.0,1.0,9.0,8.0,5.0,42.0,5.0,410.0,594.0,395.0,337.0,15.0,5002.21,33.0,17.0,450.0,10.0,23.0,1.0,1.0,15.0,12.0,100.0,1.0,15.0,14.0,9.0,5.0,850.0,5.0,9.0,18.0,9.0,650.0,6.0,2.0,Hamburg,home
6.479375,20.0,,8.0,6.0,6.0,21.0,8.0,420.0,590.0,391.0,325.0,15.0,5739.77,33.0,16.0,600.0,23.0,10.0,12.0,7.0,20.0,19.0,600.0,2.0,10.0,23.0,14.0,9.0,1250.0,9.0,5.0,14.0,9.0,350.0,3.0,2.0,FC Heidenheim,away
